X,CH1,CH2
Second,Volt,Volt
-1.3488000e-03,2.48000e-01,-2.32000e-02
-1.3484000e-03,2.88000e-01,1.28000e-02
-1.3480000e-03,2.64000e-01,-2.40000e-02
-1.3476000e-03,3.04000e-01,1.28000e-02
-1.3472000e-03,2.80000e-01,-2.32000e-02
-1.3468000e-03,3.12000e-01,1.84000e-02
-1.3464000e-03,2.88000e-01,-2.80000e-02
-1.3460000e-03,3.20000e-01,1.52000e-02
-1.3456000e-03,2.96000e-01,-1.76000e-02
-1.3452000e-03,3.28000e-01,4.80000e-03
-1.3448000e-03,3.12000e-01,-1.52000e-02
-1.3444000e-03,3.36000e-01,4.00000e-03
-1.3440000e-03,3.12000e-01,-1.84000e-02
-1.3436000e-03,3.28000e-01,1.36000e-02
-1.3432000e-03,3.04000e-01,-2.40000e-02
-1.3428000e-03,3.28000e-01,3.20000e-03
-1.3424000e-03,3.04000e-01,-1.84000e-02
-1.3420000e-03,3.20000e-01,7.20000e-03
-1.3416000e-03,2.96000e-01,-1.28000e-02
-1.3412000e-03,3.20000e-01,4.80000e-03
-1.3408000e-03,2.88000e-01,-1.52000e-02
-1.3404000e-03,3.12000e-01,4.80000e-03
-1.3400001e-03,2.80000e-01,-1.68000e-02
-1.3396001e-03,3.04000e-01,6.40000e-03
-1.3392001e-03,2.80000e-01,-1.60000e-02
-1.3388001e-03,2.96000e-01,4.80000e-03
-1.3384001e-03,2.72000e-01,-2.00000e-02
-1.3380001e-03,2.96000e-01,8.80000e-03
-1.3376001e-03,2.72000e-01,-1.84000e-02
-1.3372001e-03,2.88000e-01,7.20000e-03
-1.3368001e-03,2.64000e-01,-1.44000e-02
-1.3364000e-03,2.88000e-01,2.40000e-03
-1.3360000e-03,2.64000e-01,-1.36000e-02
-1.3356000e-03,2.88000e-01,1.04000e-02
-1.3352000e-03,2.56000e-01,-2.08000e-02
-1.3348000e-03,2.80000e-01,4.80000e-03
-1.3344000e-03,2.56000e-01,-1.52000e-02
-1.3340000e-03,2.72000e-01,6.40000e-03
