X,CH1,
Second,Volt,
-2.7513430e-01,8.80000e-02,
-2.7509767e-01,7.04000e-01,
-2.7506104e-01,1.76000e-01,
-2.7502441e-01,7.04000e-01,
-2.7498782e-01,1.76000e-01,
-2.7495119e-01,7.92000e-01,
-2.7491456e-01,8.80000e-02,
-2.7487794e-01,7.04000e-01,
-2.7484131e-01,8.80000e-02,
-2.7480471e-01,6.16000e-01,
-2.7476808e-01,8.80000e-02,
-2.7473146e-01,6.16000e-01,
-2.7469483e-01,8.80000e-02,
-2.7465820e-01,7.92000e-01,
-2.7462161e-01,8.80000e-02,
-2.7458498e-01,8.80000e-01,
-2.7454835e-01,8.80000e-02,
-2.7451172e-01,7.04000e-01,
-2.7447510e-01,8.80000e-02,
-2.7443850e-01,7.04000e-01,
-2.7440187e-01,8.80000e-02,
-2.7436525e-01,7.04000e-01,
-2.7432862e-01,8.80000e-02,
-2.7429199e-01,7.04000e-01,
-2.7425539e-01,8.80000e-02,
-2.7421877e-01,7.04000e-01,
-2.7418214e-01,8.80000e-02,
-2.7414551e-01,7.04000e-01,
-2.7410889e-01,1.76000e-01,
-2.7407229e-01,7.04000e-01,
-2.7403566e-01,8.80000e-02,
-2.7399904e-01,7.92000e-01,
-2.7396241e-01,8.80000e-02,
-2.7392578e-01,7.04000e-01,
-2.7388918e-01,8.80000e-02,
-2.7385256e-01,6.16000e-01,
-2.7381593e-01,8.80000e-02,
-2.7377930e-01,6.16000e-01,
-2.7374268e-01,8.80000e-02,
-2.7370608e-01,7.92000e-01,
-2.7366945e-01,8.80000e-02,
-2.7363282e-01,7.04000e-01,
-2.7359620e-01,1.76000e-01,
-2.7355957e-01,7.92000e-01,
-2.7352297e-01,8.80000e-02,
-2.7348635e-01,7.04000e-01,
-2.7344972e-01,8.80000e-02,
-2.7341309e-01,7.04000e-01,
-2.7337646e-01,8.80000e-02,
-2.7333987e-01,6.16000e-01,
-2.7330324e-01,8.80000e-02,
-2.7326661e-01,6.16000e-01,
-2.7322999e-01,8.80000e-02,
-2.7319336e-01,6.16000e-01,
